seed,dgp,model_key,model,obj_nll,obj_prob_mse,obj_prob_mae,mo_nll,mo_prob_mse,mo_prob_mae,decision_regret,learned_b_global,learned_b_obj0,scorer_noise_sigma0,learned_b_obj1,scorer_noise_sigma1,learned_b_obj2,scorer_noise_sigma2
7,objective_specific_noise,pcma_normalized,PCMA-normalized scalarization,,,,0.6750343934472378,0.01608107667575476,0.09492321327340474,0.18090288015526046,-0.7165525555610657,-0.15167275071144104,0.3,-1.2317882776260376,1.2,-0.574312686920166,0.7
7,objective_specific_noise,confidence_preserving_pcma,Confidence-preserving PCMA,0.6332633218858763,0.014786145397094167,0.09342444763407969,0.6575839513930888,0.010832749760686546,0.07882711018292121,0.18090288015526046,-0.7165525555610657,-0.15167275071144104,0.3,-1.2317882776260376,1.2,-0.574312686920166,0.7
7,objective_specific_noise,oracle,Oracle latent utility,,,,0.6338666538168526,0.0,0.0,0.0,-0.7165525555610657,-0.15167275071144104,0.3,-1.2317882776260376,1.2,-0.574312686920166,0.7
8,objective_specific_noise,standard,Standard scalarized BT,0.6661404571433663,0.023718678527291974,0.11121445118524464,0.6745570562779162,0.0179672648466361,0.1013221232919133,0.19792276638620407,-0.5880440473556519,-0.12034384906291962,0.3,-1.0091265439987183,1.2,-0.46857401728630066,0.7
8,objective_specific_noise,shared_precision,Shared-precision BT,0.6396563062274767,0.017165497571126464,0.10339099799690527,0.6601247433682278,0.013249206532453102,0.08720259024348183,0.19792276638620407,-0.5880440473556519,-0.12034384906291962,0.3,-1.0091265439987183,1.2,-0.46857401728630066,0.7
8,objective_specific_noise,pcma_normalized,PCMA-normalized scalarization,,,,0.6699122575520016,0.016293953516981458,0.09567033386021812,0.18527648722892895,-0.5880440473556519,-0.12034384906291962,0.3,-1.0091265439987183,1.2,-0.46857401728630066,0.7
8,objective_specific_noise,confidence_preserving_pcma,Confidence-preserving PCMA,0.6329075710082926,0.014532104684421532,0.09145129557110956,0.6552369505426022,0.011448959877250076,0.0806627604228003,0.18527648722892895,-0.5880440473556519,-0.12034384906291962,0.3,-1.0091265439987183,1.2,-0.46857401728630066,0.7
8,objective_specific_noise,oracle,Oracle latent utility,,,,0.6303470896503962,0.0,0.0,0.0,-0.5880440473556519,-0.12034384906291962,0.3,-1.0091265439987183,1.2,-0.46857401728630066,0.7
9,objective_specific_noise,standard,Standard scalarized BT,0.6570192701147318,0.023743510772281796,0.11181211401241653,0.6731609399279789,0.01799138380696923,0.10158480494395598,0.19602391887730927,-0.5727659463882446,-0.1801963448524475,0.3,-0.8709914088249207,1.2,-0.5368578433990479,0.7
9,objective_specific_noise,shared_precision,Shared-precision BT,0.63482176676848,0.01734316442282036,0.10362785691622337,0.6594137289603869,0.013471171169716458,0.08813333385134368,0.19602391887730927,-0.5727659463882446,-0.1801963448524475,0.3,-0.8709914088249207,1.2,-0.5368578433990479,0.7
